transaction_id,date,account_key,department_key,vendor_key,product_key,customer_key,amount,approval_status,procurement_method,approver_id,approval_date,purchase_order_number,contract_reference
1,2022-01-24,1,30,390,84,857,506.98,Approved,Quotes,232,2022-02-01,,
2,2022-01-04,2,37,778,68,968,295.95,Approved,Quotes,184,2022-01-05,PO-910612,CTR-2020-3893
3,2022-01-06,2,14,455,77,534,66.84,Rejected,Quotes,33,2022-01-07,,
4,2022-01-18,1,34,954,63,540,478.65,Approved,RFP,366,2022-01-22,,CTR-2025-5455
5,2022-01-10,1,40,813,24,897,377.61,Approved,RFP,363,2022-01-11,PO-556893,CTR-2021-2367
6,2022-01-10,3,38,865,34,939,488.06,Approved,Contract,120,2022-01-12,PO-146868,CTR-2020-4666
7,2022-01-06,3,17,426,45,813,500.24,Approved,RFP,601,2022-01-08,,
8,2022-01-22,3,20,835,81,318,416.18,Pending,RFP,,,PO-281483,
9,2022-01-21,3,37,104,66,447,174.02,Approved,Quotes,941,2022-01-31,PO-784908,CTR-2022-5919
10,2022-01-13,3,15,883,89,501,321.13,Approved,RFP,400,2022-01-27,,
11,2022-01-04,1,12,788,76,951,115.1,Approved,RFP,158,2022-01-18,,
12,2022-01-04,3,30,508,79,69,340.61,Approved,Contract,376,2022-01-09,PO-439902,CTR-2024-2457
13,2022-01-29,1,34,683,55,783,133.78,Pending,Contract,,,PO-883569,CTR-2025-5016
14,2022-01-02,1,25,334,3,571,37.14,Approved,Quotes,499,2022-01-05,,CTR-2024-6216
15,2022-01-21,1,37,888,1,277,426.61,Approved,RFP,327,2022-01-22,PO-991025,CTR-2024-3373
16,2022-01-06,3,32,31,7,746,47.23,Approved,Quotes,108,2022-01-13,PO-831423,CTR-2020-6330
17,2022-01-18,3,13,843,56,127,445.84,Approved,RFP,678,2022-01-21,PO-700409,
18,2022-01-03,3,30,754,98,587,13.95,Approved,Contract,945,2022-01-09,PO-622777,CTR-2025-3179
19,2022-01-23,3,31,159,4,37,525.37,Pending,Quotes,,,PO-457583,
20,2022-01-19,2,15,155,72,462,289.36,Approved,Quotes,957,2022-01-29,PO-803702,
21,2022-01-05,3,14,777,6,806,542.12,Approved,RFP,582,2022-01-18,,
22,2022-01-21,3,38,10,35,667,127.56,Pending,RFP,,,PO-340192,
23,2022-01-06,1,12,43,98,673,273.16,Approved,Contract,307,2022-01-15,PO-884786,CTR-2025-9243
24,2022-01-05,2,30,793,77,874,97.18,Approved,RFP,684,2022-01-16,,CTR-2022-3604
25,2022-01-01,3,33,211,23,243,342.57,Approved,Quotes,127,2022-01-02,PO-212755,CTR-2020-6856
26,2022-01-19,3,20,901,40,692,459.52,Pending,Quotes,,,PO-414879,
27,2022-01-03,2,18,661,80,894,543.98,Approved,RFP,635,2022-01-16,PO-275377,
28,2022-01-21,2,34,347,57,163,31.02,Approved,RFP,749,2022-01-31,PO-444457,
29,2022-01-19,2,12,456,15,693,467.31,Approved,RFP,746,2022-02-02,PO-155480,CTR-2024-3877
30,2022-01-13,3,17,55,42,12,239.89,Approved,RFP,754,2022-01-14,PO-449606,
31,2022-01-05,3,12,211,76,544,439.7,Approved,RFP,678,2022-01-16,,CTR-2021-3930
32,2022-01-17,2,16,767,89,135,516.05,Approved,Quotes,476,2022-01-21,,
33,2022-01-17,3,11,242,40,418,100.64,Approved,RFP,421,2022-01-24,,
34,2022-01-10,1,15,411,45,485,404.27,Rejected,Contract,23,2022-01-12,,CTR-2023-4156
35,2022-01-28,3,19,182,43,417,453.33,Approved,Contract,269,2022-02-07,PO-648379,CTR-2021-5092
36,2022-01-08,1,35,556,63,858,241.02,Approved,RFP,417,2022-01-13,PO-630625,CTR-2020-1128
37,2022-01-02,2,31,960,97,491,353.95,Approved,Quotes,750,2022-01-12,PO-608608,CTR-2025-9051
38,2022-01-13,3,14,651,12,348,224.4,Approved,RFP,964,2022-01-15,,
39,2022-01-11,3,36,922,35,64,465.62,Approved,RFP,979,2022-01-14,PO-258177,CTR-2023-5387
40,2022-01-28,2,10,374,76,72,443.15,Pending,Contract,,,PO-726480,CTR-2023-8139
41,2022-01-01,2,22,90,4,744,510.85,Approved,Contract,277,2022-01-13,PO-331589,CTR-2022-7318
42,2022-01-13,3,29,549,13,263,167.79,Approved,Contract,241,2022-01-14,PO-752600,CTR-2021-7036
43,2022-01-11,3,16,791,71,651,300.78,Approved,RFP,527,2022-01-18,PO-892295,
44,2022-01-08,3,38,543,32,813,79.55,Approved,Quotes,308,2022-01-14,PO-258526,
45,2022-01-29,3,16,759,79,538,95.15,Approved,RFP,320,2022-02-04,PO-841603,
46,2022-01-18,1,33,243,87,427,528.75,Approved,RFP,762,2022-01-28,PO-602086,
47,2022-01-13,1,36,765,31,155,257.57,Approved,RFP,432,2022-01-17,,
48,2022-01-13,3,23,434,57,995,46.85,Approved,Contract,881,2022-01-21,PO-395527,CTR-2023-9410
49,2022-01-29,3,29,850,48,685,154.36,Pending,Quotes,,,PO-403936,CTR-2020-6777
50,2022-01-08,2,12,680,29,407,441.74,Approved,RFP,261,2022-01-11,PO-249975,
51,2022-01-17,2,20,76,96,963,209.38,Pending,Quotes,,,PO-537715,
52,2022-01-07,3,19,894,9,348,438.25,Rejected,RFP,486,2022-01-16,,CTR-2024-6656
53,2022-01-03,2,30,409,3,798,98.08,Approved,RFP,96,2022-01-05,PO-561011,CTR-2024-5289
54,2022-01-06,2,13,243,8,918,221.1,Approved,Quotes,509,2022-01-19,PO-903423,
55,2022-01-28,2,29,600,3,790,249.3,Approved,RFP,669,2022-02-05,PO-816038,CTR-2025-7373
56,2022-01-07,2,38,501,22,935,135.0,Pending,Quotes,,,PO-339416,
57,2022-01-09,2,24,258,82,385,167.92,Pending,Quotes,,,,
58,2022-01-18,3,40,441,97,820,197.7,Approved,Quotes,576,2022-01-25,PO-541860,
59,2022-01-11,2,15,703,63,544,176.81,Approved,Quotes,66,2022-01-21,PO-997684,CTR-2022-3869
60,2022-01-20,3,29,519,98,49,349.57,Approved,Contract,504,2022-02-03,PO-656223,CTR-2022-8577
61,2022-01-26,2,36,562,35,821,523.27,Approved,RFP,413,2022-02-05,,
62,2022-01-07,1,13,247,82,333,56.76,Rejected,RFP,979,2022-01-21,PO-264524,CTR-2021-1277
63,2022-01-15,3,16,321,65,564,333.93,Approved,Quotes,333,2022-01-25,,
64,2022-01-28,1,16,557,71,955,37.96,Approved,RFP,436,2022-02-07,,
65,2022-01-03,3,32,474,53,835,114.72,Approved,Emergency,48,2022-01-10,PO-570222,CTR-2024-5659
66,2022-01-22,3,10,731,16,754,139.96,Approved,RFP,430,2022-02-03,PO-341061,
67,2022-01-03,2,22,853,57,997,527.12,Approved,Quotes,43,2022-01-14,PO-132270,
68,2022-01-18,3,15,938,7,53,509.42,Approved,RFP,505,2022-01-29,PO-441507,
69,2022-01-01,2,27,355,60,930,397.72,Approved,Quotes,705,2022-01-14,,
70,2022-01-23,3,13,268,12,565,541.54,Approved,Quotes,376,2022-02-02,PO-750654,
71,2022-01-16,3,31,727,53,602,55.35,Approved,Quotes,182,2022-01-17,PO-653753,
72,2022-01-05,3,37,287,20,73,100.21,Approved,RFP,840,2022-01-17,,
